,Rooms,Type,Method,Distance,Postcode,Bedrooms,Bathroom,Car,Landsize,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Price class
3521,4,h,VB,10.5,3186.0,4.0,3.0,2.0,498.0,1900.0,-37.90396,144.99126,Southern Metropolitan,10579.0,2
3522,3,t,S,21.5,3195.0,3.0,2.0,2.0,298.0,1995.0,-37.99464,145.08099,South-Eastern Metropolitan,5087.0,0
3523,3,h,S,11.2,3073.0,3.0,1.0,2.0,569.0,,-37.7313,145.0224,Northern Metropolitan,21650.0,0
3524,3,h,S,9.2,3012.0,3.0,2.0,2.0,260.0,,-37.7825,144.8833,Western Metropolitan,3873.0,0
3525,2,t,SP,13.8,3018.0,2.0,1.0,2.0,190.0,,-37.8718,144.819,Western Metropolitan,5301.0,0
3526,3,h,SP,5.2,3056.0,3.0,1.0,2.0,80.0,,-37.7589,144.9588,Northern Metropolitan,11918.0,0
3527,2,h,SP,7.0,3013.0,2.0,1.0,0.0,94.0,,-37.8167,144.888,Western Metropolitan,6543.0,0
3528,2,h,VB,3.8,3207.0,2.0,1.0,1.0,90.0,2007.0,-37.8357,144.9376,Southern Metropolitan,8648.0,0
3529,3,h,S,17.9,3082.0,3.0,2.0,2.0,649.0,,-37.67633,145.06922,Northern Metropolitan,10529.0,0
3530,2,h,S,17.2,3132.0,2.0,2.0,1.0,370.0,,-37.82047,145.19421,Eastern Metropolitan,6871.0,0
3531,2,h,PI,4.5,3181.0,2.0,1.0,1.0,88.0,2000.0,-37.8503,144.9913,Southern Metropolitan,7717.0,0
3532,3,h,S,11.2,3073.0,3.0,1.0,5.0,4679.0,1975.0,-37.7093,145.0012,Northern Metropolitan,21650.0,0
3533,4,t,VB,15.4,3131.0,4.0,2.0,2.0,338.0,,-37.81065,145.17309,Eastern Metropolitan,4973.0,0
3534,4,h,SP,8.0,3040.0,4.0,1.0,2.0,638.0,1900.0,-37.7523,144.9052,Western Metropolitan,9264.0,1
3535,4,h,S,17.6,3027.0,4.0,2.0,2.0,443.0,,-37.8543,144.74437,Western Metropolitan,1999.0,0
3536,3,u,S,11.4,3084.0,3.0,2.0,2.0,169.0,2010.0,-37.7415,145.0726,Eastern Metropolitan,3540.0,0
3537,3,h,S,25.0,3155.0,3.0,2.0,2.0,723.0,1980.0,-37.85284,145.26942,Eastern Metropolitan,9704.0,0
3538,5,h,S,13.7,3188.0,5.0,3.0,2.0,694.0,2011.0,-37.9372,145.0101,Southern Metropolitan,5454.0,2
3539,2,u,PI,10.4,3163.0,2.0,1.0,1.0,0.0,1960.0,-37.8868,145.0408,Southern Metropolitan,2403.0,0
3540,3,t,PI,4.6,3142.0,3.0,2.0,2.0,0.0,1980.0,-37.842,145.0046,Southern Metropolitan,7217.0,0
3541,4,h,PI,11.4,3204.0,4.0,2.0,2.0,568.0,,-37.90688,145.02827,Southern Metropolitan,2397.0,1
3542,3,h,S,9.2,3104.0,3.0,1.0,1.0,696.0,,-37.8016,145.1013,Southern Metropolitan,7809.0,1
3543,1,h,S,1.9,3205.0,1.0,1.0,0.0,74.0,1900.0,-37.83627,144.9605,Southern Metropolitan,5943.0,0
3544,2,h,S,2.5,3067.0,2.0,1.0,0.0,147.0,1900.0,-37.808,144.994,Northern Metropolitan,4019.0,1
3545,3,h,SP,13.0,3046.0,3.0,1.0,2.0,599.0,1960.0,-37.7009,144.9291,Northern Metropolitan,8870.0,0
3546,2,u,SP,12.9,3043.0,2.0,1.0,1.0,0.0,1980.0,-37.69815,144.88019,Western Metropolitan,3296.0,0
3547,3,h,S,11.2,3145.0,3.0,2.0,2.0,331.0,,-37.877,145.067,Southern Metropolitan,8801.0,1
3548,2,u,S,5.1,3181.0,2.0,1.0,1.0,0.0,1970.0,-37.8559,144.999,Southern Metropolitan,4380.0,0
3549,4,h,S,19.6,3076.0,4.0,2.0,2.0,500.0,,-37.62756,145.03364,Northern Metropolitan,10926.0,0
3550,4,h,S,9.2,3058.0,4.0,2.0,2.0,661.0,,-37.7246,144.9828,Northern Metropolitan,3445.0,0
3551,3,t,SP,10.8,3019.0,3.0,2.0,1.0,145.0,2003.0,-37.7894,144.8463,Western Metropolitan,3589.0,0
3552,2,t,S,7.3,3146.0,2.0,1.0,1.0,197.0,1970.0,-37.85448,145.0485,Southern Metropolitan,10412.0,0
3553,3,h,PI,10.1,3163.0,3.0,2.0,3.0,818.0,2011.0,-37.89877,145.05132,Southern Metropolitan,7822.0,1
3554,2,t,S,10.4,3163.0,2.0,1.0,1.0,0.0,1970.0,-37.8866,145.0396,Southern Metropolitan,2403.0,0
3555,3,h,S,18.4,3029.0,3.0,2.0,2.0,580.0,1990.0,-37.87447,144.66771,Western Metropolitan,13830.0,0
3556,2,h,S,8.6,3019.0,2.0,1.0,1.0,304.0,1950.0,-37.78341,144.85574,Western Metropolitan,3589.0,0
3557,4,h,S,13.0,3046.0,4.0,3.0,2.0,693.0,2014.0,-37.7111,144.9275,Northern Metropolitan,8870.0,1
3558,4,h,S,11.2,3186.0,4.0,2.0,2.0,640.0,,-37.892,144.9918,Southern Metropolitan,10579.0,2
3559,4,h,PI,11.4,3204.0,4.0,2.0,2.0,663.0,1995.0,-37.90617,145.02875,Southern Metropolitan,3578.0,1
3560,4,h,S,8.5,3044.0,4.0,2.0,5.0,669.0,,-37.72775,144.93372,Northern Metropolitan,7485.0,1
3561,1,u,S,6.3,3143.0,1.0,1.0,0.0,881.0,,-37.8614,145.0222,Southern Metropolitan,4836.0,0
3562,2,u,VB,13.9,3108.0,2.0,1.0,2.0,0.0,,-37.7868,145.1223,Eastern Metropolitan,9028.0,0
3563,3,t,S,12.8,3033.0,3.0,2.0,1.0,440.0,1995.0,-37.7517,144.8776,Western Metropolitan,5629.0,0
3564,3,t,SP,8.7,3032.0,3.0,2.0,2.0,210.0,,-37.7732,144.879,Western Metropolitan,4918.0,0
3565,3,h,S,8.4,3015.0,3.0,2.0,0.0,311.0,1920.0,-37.85,144.8914,Western Metropolitan,5498.0,1
3566,2,h,SP,6.4,3011.0,2.0,1.0,0.0,172.0,1900.0,-37.7936,144.8905,Western Metropolitan,7570.0,0
3567,4,h,S,34.7,3977.0,4.0,2.0,0.0,579.0,1990.0,-38.07202,145.27369,South-Eastern Metropolitan,6464.0,0
3568,3,u,S,11.5,3046.0,3.0,1.0,2.0,250.0,,-37.7232,144.9148,Northern Metropolitan,2651.0,0
3569,2,t,PI,11.2,3186.0,2.0,1.0,1.0,444.0,1915.0,-37.8993,145.0046,Southern Metropolitan,10579.0,0
3570,2,h,SP,6.4,3011.0,2.0,1.0,0.0,210.0,1900.0,-37.7969,144.88299999999995,Western Metropolitan,7570.0,0
3571,5,h,SP,13.8,3018.0,5.0,3.0,4.0,725.0,1980.0,-37.8712,144.8107,Western Metropolitan,5301.0,1
3572,3,h,S,10.9,3128.0,3.0,1.0,3.0,1100.0,,-37.8164,145.12964,Eastern Metropolitan,4605.0,2
3573,2,h,VB,21.5,3195.0,2.0,1.0,2.0,502.0,,-38.00663,145.08491999999995,South-Eastern Metropolitan,3650.0,1
3574,3,t,S,4.5,3057.0,3.0,2.0,1.0,0.0,1995.0,-37.7655,144.9816,Northern Metropolitan,5533.0,0
3575,3,h,VB,6.3,3013.0,3.0,1.0,,338.0,1906.0,-37.8195,144.88908,Western Metropolitan,6543.0,0
3576,3,h,S,45.9,3437.0,3.0,1.0,0.0,4000.0,,-37.50087,144.48571,Northern Victoria,249.0,0
3577,2,u,S,4.6,3181.0,2.0,1.0,1.0,0.0,,-37.85417,145.00929,Southern Metropolitan,7717.0,1
3578,3,t,S,9.7,3103.0,3.0,2.0,1.0,259.0,1940.0,-37.8161,145.0809,Southern Metropolitan,5682.0,1
3579,3,t,S,7.0,3013.0,3.0,2.0,2.0,257.0,2012.0,-37.813,144.8703,Western Metropolitan,6543.0,0
3580,3,h,S,13.6,3148.0,3.0,1.0,2.0,586.0,,-37.8805,145.0978,Southern Metropolitan,3582.0,0
3581,3,h,S,1.6,3065.0,3.0,2.0,1.0,138.0,1900.0,-37.795,144.9806,Northern Metropolitan,5825.0,1
3582,2,u,S,9.9,3044.0,2.0,1.0,1.0,,,-37.7218,144.9406,Northern Metropolitan,7485.0,0
3583,2,h,S,8.7,3162.0,2.0,1.0,3.0,294.0,,-37.89542,145.02057,Southern Metropolitan,5051.0,0
3584,2,u,S,1.8,3053.0,2.0,1.0,1.0,0.0,,-37.7985,144.9745,Northern Metropolitan,6786.0,0
3585,3,h,SP,8.4,3015.0,3.0,2.0,1.0,0.0,1970.0,-37.8352,144.8661,Western Metropolitan,5498.0,0
3586,3,h,S,3.2,3054.0,3.0,3.0,1.0,144.0,,-37.7885,144.9757,Northern Metropolitan,3106.0,1
3587,3,t,S,11.4,3084.0,3.0,2.0,2.0,276.0,,-37.7336,145.0615,Eastern Metropolitan,3540.0,0
3588,3,h,S,15.0,3085.0,3.0,2.0,2.0,568.0,1975.0,-37.7216,145.1066,Northern Metropolitan,1369.0,0
3589,4,h,VB,13.7,3188.0,4.0,3.0,2.0,1093.0,,-37.9345,145.0,Southern Metropolitan,5454.0,2
3590,2,u,SP,8.0,3040.0,2.0,1.0,1.0,170.0,1994.0,-37.7475,144.8959,Western Metropolitan,9264.0,0
3591,3,h,S,13.9,3108.0,3.0,1.0,4.0,727.0,1970.0,-37.7942,145.1218,Eastern Metropolitan,9028.0,1
3592,2,u,S,21.5,3195.0,2.0,1.0,1.0,0.0,1967.0,-38.00765,145.0935,South-Eastern Metropolitan,3650.0,0
3593,4,h,S,7.8,3058.0,4.0,3.0,1.0,420.0,1920.0,-37.7501,144.96200000000005,Northern Metropolitan,11204.0,1
3594,3,h,S,23.2,3153.0,3.0,2.0,4.0,782.0,,-37.85002,145.25964,Eastern Metropolitan,5030.0,0
3595,3,h,S,8.8,3072.0,3.0,1.0,2.0,647.0,,-37.7331,144.988,Northern Metropolitan,14577.0,0
3596,3,h,VB,8.8,3072.0,3.0,1.0,3.0,503.0,1950.0,-37.739,145.0238,Northern Metropolitan,14577.0,0
3597,3,h,S,11.4,3204.0,3.0,2.0,2.0,672.0,,-37.92768,145.04268000000005,Southern Metropolitan,6795.0,1
3598,2,t,S,5.9,3055.0,2.0,1.0,2.0,120.0,2004.0,-37.7659,144.9487,Northern Metropolitan,7082.0,0
3599,1,u,S,7.5,3040.0,1.0,1.0,1.0,1715.0,1970.0,-37.75882,144.9027,Western Metropolitan,1543.0,0
3600,3,h,VB,31.6,3796.0,3.0,1.0,4.0,2385.0,1930.0,-37.79977,145.37222,Eastern Victoria,3532.0,0
3601,3,h,S,8.5,3044.0,3.0,1.0,2.0,956.0,,-37.73103,144.93963,Northern Metropolitan,7485.0,1
3602,3,h,S,5.9,3032.0,3.0,1.0,2.0,431.0,1950.0,-37.781,144.9207,Western Metropolitan,6567.0,0
3603,3,t,S,8.4,3015.0,3.0,2.0,2.0,283.0,2011.0,-37.8477,144.8753,Western Metropolitan,5498.0,0
3604,1,h,S,2.1,3205.0,1.0,1.0,0.0,84.0,1912.0,-37.8332,144.9548,Southern Metropolitan,5943.0,0
3605,3,h,S,16.3,3075.0,3.0,1.0,4.0,670.0,,-37.67328,145.02918,Northern Metropolitan,,0
3606,3,h,S,15.3,3074.0,3.0,1.0,1.0,552.0,,-37.68366,145.02783,Northern Metropolitan,7955.0,0
3607,3,h,S,10.5,3034.0,4.0,2.0,1.0,582.0,1950.0,-37.7584,144.8568,Western Metropolitan,4502.0,0
3608,5,h,SP,10.2,3127.0,5.0,2.0,4.0,819.0,,-37.81269,145.10236,Eastern Metropolitan,2079.0,2
3609,2,h,S,3.3,3206.0,2.0,1.0,0.0,136.0,,-37.846,144.9517,Southern Metropolitan,3280.0,1
3610,2,u,VB,7.5,3123.0,2.0,1.0,1.0,3084.0,,-37.8414,145.0505,Southern Metropolitan,6482.0,0
3611,5,h,S,48.1,3438.0,5.0,3.0,5.0,44500.0,,-37.45392,144.58864,Northern Victoria,849.0,1
3612,4,h,S,8.0,3016.0,4.0,2.0,2.0,344.0,,-37.8617,144.8799,Western Metropolitan,6380.0,1
3613,2,u,PI,10.3,3187.0,2.0,1.0,1.0,0.0,1950.0,-37.93171,145.03041000000005,Southern Metropolitan,6938.0,0
3614,3,h,SP,8.4,3072.0,3.0,1.0,2.0,465.0,1930.0,-37.73027,145.00189,Northern Metropolitan,14577.0,0
3615,4,h,S,11.2,3186.0,4.0,3.0,2.0,644.0,2000.0,-37.8964,144.9972,Southern Metropolitan,10579.0,2
3616,3,h,S,8.8,3072.0,3.0,1.0,2.0,493.0,1950.0,-37.7441,145.0221,Northern Metropolitan,14577.0,0
3617,2,h,SP,5.2,3055.0,2.0,1.0,2.0,501.0,1930.0,-37.75772,144.94349,Northern Metropolitan,7082.0,1
3618,5,h,S,9.2,3146.0,5.0,2.0,2.0,1339.0,1925.0,-37.8649,145.0547,Southern Metropolitan,10412.0,2
3619,3,t,SP,11.8,3105.0,3.0,2.0,2.0,315.0,1960.0,-37.7607,145.0853,Eastern Metropolitan,4480.0,1
3620,3,h,SP,6.9,3039.0,3.0,2.0,2.0,394.0,1890.0,-37.7699,144.9149,Western Metropolitan,6232.0,1
3621,3,h,PI,13.0,3204.0,3.0,2.0,1.0,565.0,1940.0,-37.9134,145.0263,Southern Metropolitan,6795.0,1
3622,3,h,S,13.9,3108.0,4.0,2.0,2.0,753.0,,-37.7753,145.1114,Eastern Metropolitan,9028.0,1
3623,2,h,S,2.0,3066.0,2.0,1.0,0.0,0.0,1890.0,-37.79589,144.98863,Northern Metropolitan,4553.0,0
3624,3,h,PI,5.2,3055.0,3.0,2.0,4.0,413.0,1910.0,-37.76545,144.94442,Northern Metropolitan,7082.0,0
3625,3,h,S,11.2,3073.0,3.0,1.0,1.0,370.0,,-37.719,144.9971,Northern Metropolitan,21650.0,0
3626,4,h,S,5.5,3070.0,3.0,2.0,1.0,569.0,,-37.772,145.0039,Northern Metropolitan,11364.0,1
3627,4,h,SP,13.8,3165.0,4.0,1.0,2.0,722.0,1955.0,-37.91311,145.06496,Southern Metropolitan,10969.0,1
3628,2,u,S,5.3,3122.0,2.0,1.0,1.0,0.0,,-37.83197,145.04306,Southern Metropolitan,11308.0,0
3629,1,u,PI,2.5,3121.0,1.0,1.0,1.0,0.0,2007.0,-37.8301,144.9904,Northern Metropolitan,1123.0,0
3630,3,h,PI,13.6,3043.0,3.0,2.0,1.0,223.0,,-37.704,144.8984,Western Metropolitan,1071.0,0
3631,4,h,VB,11.2,3186.0,4.0,2.0,2.0,286.0,1999.0,-37.8981,145.0,Southern Metropolitan,10579.0,1
3632,1,u,S,12.0,3073.0,1.0,1.0,1.0,60.0,1970.0,-37.71751,144.99849,Northern Metropolitan,21650.0,0
3633,4,h,S,12.8,3033.0,3.0,1.0,1.0,622.0,1965.0,-37.7425,144.8683,Western Metropolitan,5629.0,0
3634,4,h,S,8.5,3185.0,4.0,2.0,2.0,125.0,2000.0,-37.8855,145.001,Southern Metropolitan,4898.0,0
3635,3,h,S,6.5,3071.0,3.0,3.0,2.0,273.0,1958.0,-37.7583,145.0174,Northern Metropolitan,8870.0,0
3636,2,u,S,1.8,3053.0,2.0,1.0,1.0,0.0,2000.0,-37.7969,144.9669,Northern Metropolitan,6786.0,0
3637,3,h,S,9.9,3044.0,3.0,1.0,1.0,470.0,,-37.7315,144.9399,Northern Metropolitan,7485.0,0
3638,2,h,S,11.8,3105.0,3.0,1.0,1.0,551.0,,-37.7739,145.0962,Eastern Metropolitan,4480.0,0
3639,2,h,S,13.0,3204.0,2.0,1.0,1.0,298.0,,-37.9247,145.0287,Southern Metropolitan,6795.0,0
3640,2,u,S,13.0,3204.0,2.0,1.0,1.0,227.0,1990.0,-37.9326,145.0387,Southern Metropolitan,6795.0,0
3641,3,h,S,8.4,3072.0,3.0,1.0,0.0,480.0,,-37.73346,145.01506,Northern Metropolitan,14577.0,0
3642,2,h,PI,3.5,3054.0,2.0,1.0,1.0,193.0,1900.0,-37.78406,144.97494,Northern Metropolitan,3106.0,1
3643,2,h,S,8.0,3040.0,2.0,1.0,1.0,0.0,,-37.7488,144.9165,Western Metropolitan,9264.0,1
3644,3,h,S,6.3,3143.0,3.0,2.0,1.0,205.0,1910.0,-37.8574,145.0281,Southern Metropolitan,4836.0,1
3645,3,t,PI,1.9,3003.0,3.0,2.0,2.0,116.0,2002.0,-37.8102,144.9515,Northern Metropolitan,2230.0,1
3646,4,h,S,11.2,3073.0,4.0,2.0,2.0,508.0,1950.0,-37.7129,145.0047,Northern Metropolitan,21650.0,0
3647,3,h,S,11.2,3046.0,3.0,1.0,1.0,600.0,,-37.70067,144.92689,Northern Metropolitan,8870.0,0
3648,4,h,PI,10.7,3187.0,4.0,3.0,4.0,708.0,1950.0,-37.9299,145.015,Southern Metropolitan,6938.0,1
3649,2,t,VB,5.9,3055.0,2.0,1.0,1.0,0.0,1970.0,-37.772,144.9406,Northern Metropolitan,7082.0,0
3650,4,h,S,3.2,3054.0,4.0,3.0,0.0,122.0,1890.0,-37.7893,144.9696,Northern Metropolitan,3106.0,1
3651,2,u,VB,11.2,3073.0,2.0,1.0,1.0,151.0,1975.0,-37.7126,144.99,Northern Metropolitan,21650.0,0
3652,3,h,VB,6.1,3182.0,3.0,2.0,2.0,176.0,1880.0,-37.8641,144.9739,Southern Metropolitan,13240.0,1
3653,2,u,SP,6.3,3143.0,2.0,1.0,1.0,0.0,1969.0,-37.8573,145.0186,Southern Metropolitan,4836.0,0
3654,3,h,S,11.2,3046.0,3.0,1.0,2.0,649.0,1955.0,-37.69777,144.91952,Northern Metropolitan,8870.0,0
3655,3,u,S,11.2,3073.0,3.0,1.0,1.0,359.0,1960.0,-37.6957,145.0161,Northern Metropolitan,21650.0,0
3656,2,u,S,3.3,3141.0,2.0,1.0,1.0,0.0,,-37.8374,144.9903,Southern Metropolitan,14887.0,0
3657,2,h,S,8.0,3016.0,2.0,1.0,2.0,183.0,,-37.8555,144.8952,Western Metropolitan,6380.0,0
3658,4,h,S,11.2,3145.0,4.0,3.0,2.0,412.0,1930.0,-37.8707,145.0482,Southern Metropolitan,8801.0,1
3659,2,u,SP,13.1,3128.0,2.0,1.0,1.0,0.0,,-37.8219,145.1213,Eastern Metropolitan,4605.0,0
3660,2,u,SP,6.1,3182.0,2.0,1.0,1.0,0.0,1970.0,-37.8573,144.9825,Southern Metropolitan,13240.0,0
3661,3,u,S,14.0,3166.0,3.0,2.0,2.0,279.0,1930.0,-37.9001,145.1009,Southern Metropolitan,3224.0,0
3662,4,h,VB,5.2,3056.0,4.0,2.0,3.0,271.0,1900.0,-37.7769,144.9691,Northern Metropolitan,11918.0,1
3663,4,h,S,15.2,3191.0,4.0,2.0,2.0,404.0,1925.0,-37.95882,145.02138,Southern Metropolitan,4497.0,1
3664,3,t,PI,14.3,3109.0,3.0,2.0,2.0,253.0,,-37.7626,145.17126000000005,Eastern Metropolitan,10999.0,1
3665,3,h,S,11.2,3073.0,3.0,1.0,2.0,950.0,1960.0,-37.7022,145.0078,Northern Metropolitan,21650.0,0
3666,4,t,S,17.2,3133.0,4.0,2.0,2.0,0.0,2008.0,-37.83368,145.20408999999995,Eastern Metropolitan,4181.0,0
3667,3,h,VB,21.5,3195.0,4.0,2.0,2.0,612.0,1960.0,-38.01596,145.09932,South-Eastern Metropolitan,2824.0,0
3668,3,h,S,2.6,3121.0,3.0,1.0,1.0,167.0,,-37.8167,145.0098,Northern Metropolitan,14949.0,1
3669,3,h,S,5.4,3101.0,3.0,1.0,4.0,482.0,,-37.80119000000001,145.0511,Southern Metropolitan,10331.0,1
3670,3,h,SP,12.4,3060.0,3.0,1.0,1.0,589.0,1961.0,-37.7006,144.9697,Northern Metropolitan,5070.0,0
3671,3,h,S,13.9,3108.0,3.0,1.0,1.0,764.0,1965.0,-37.7934,145.1207,Eastern Metropolitan,9028.0,1
3672,4,h,S,20.4,3059.0,4.0,2.0,2.0,680.0,2011.0,-37.61236,144.90753,Northern Metropolitan,4864.0,0
3673,4,h,S,9.7,3103.0,4.0,2.0,1.0,685.0,1940.0,-37.8056,145.071,Southern Metropolitan,5682.0,2
3674,3,h,S,9.2,3104.0,3.0,1.0,2.0,622.0,,-37.7882,145.0882,Southern Metropolitan,7809.0,1
3675,2,h,S,3.5,3068.0,2.0,1.0,0.0,192.0,1910.0,-37.7793,144.9879,Northern Metropolitan,6244.0,0
3676,5,h,S,11.2,3073.0,5.0,3.0,4.0,922.0,,-37.6961,144.9865,Northern Metropolitan,21650.0,0
3677,3,h,SP,12.4,3060.0,3.0,,4.0,592.0,,-37.7111,144.9664,Northern Metropolitan,5070.0,0
3678,2,h,S,10.7,3187.0,2.0,1.0,2.0,604.0,1950.0,-37.9268,145.0094,Southern Metropolitan,6938.0,1
3679,4,h,SP,20.5,3752.0,4.0,2.0,1.0,229.0,,-37.62614,145.06723,Northern Metropolitan,7969.0,0
3680,3,h,S,10.4,3042.0,3.0,1.0,2.0,573.0,1965.0,-37.72908,144.88326999999995,Western Metropolitan,3464.0,0
3681,4,h,S,25.9,3754.0,4.0,2.0,2.0,512.0,2012.0,-37.58676,145.08889,Northern Metropolitan,5812.0,0
3682,2,h,S,13.0,3204.0,2.0,1.0,4.0,730.0,,-37.9207,145.0479,Southern Metropolitan,6795.0,1
3683,1,u,VB,6.2,3123.0,1.0,1.0,1.0,803.0,,-37.82689,145.05542,Southern Metropolitan,6482.0,0
3684,4,h,S,11.7,3033.0,4.0,3.0,4.0,670.0,1970.0,-37.73492,144.87231,Western Metropolitan,5629.0,1
3685,2,h,S,11.8,3105.0,2.0,1.0,1.0,591.0,1965.0,-37.7679,145.0978,Eastern Metropolitan,4480.0,0
3686,4,h,S,7.9,3103.0,4.0,2.0,2.0,766.0,,-37.80455,145.06478,Southern Metropolitan,5682.0,1
3687,4,h,S,12.0,3073.0,4.0,1.0,2.0,846.0,,-37.70559,144.9902,Northern Metropolitan,21650.0,0
3688,2,u,PI,12.6,3020.0,2.0,1.0,1.0,79.0,,-37.7952,144.8262,Western Metropolitan,3755.0,0
3689,3,h,S,8.8,3072.0,3.0,1.0,3.0,523.0,,-37.7314,145.0017,Northern Metropolitan,14577.0,0
3690,2,h,SP,9.2,3146.0,2.0,1.0,0.0,251.0,1910.0,-37.8627,145.0402,Southern Metropolitan,10412.0,0
3691,3,h,PI,11.2,3073.0,3.0,1.0,2.0,464.0,1920.0,-37.7245,145.004,Northern Metropolitan,21650.0,0
3692,4,h,S,8.4,3015.0,4.0,3.0,1.0,425.0,2015.0,-37.8456,144.8741,Western Metropolitan,5498.0,1
3693,3,h,S,6.4,3011.0,3.0,1.0,1.0,246.0,1940.0,-37.8012,144.8924,Western Metropolitan,7570.0,0
3694,3,h,S,9.2,3058.0,3.0,1.0,2.0,560.0,,-37.7266,144.9647,Northern Metropolitan,3445.0,0
3695,5,h,SA,12.0,3073.0,5.0,2.0,2.0,499.0,2015.0,-37.72556,144.99021000000005,Northern Metropolitan,21650.0,1
3696,2,u,S,6.5,3071.0,2.0,1.0,1.0,82.0,,-37.7556,145.0062,Northern Metropolitan,8870.0,0
3697,3,h,S,8.4,3015.0,3.0,1.0,2.0,453.0,1950.0,-37.8414,144.8707,Western Metropolitan,5498.0,0
3698,2,h,VB,6.3,3143.0,2.0,2.0,0.0,207.0,,-37.8571,145.0224,Southern Metropolitan,4836.0,1
3699,1,u,PI,6.9,3039.0,1.0,1.0,1.0,0.0,,-37.7605,144.9071,Western Metropolitan,6232.0,0
3700,3,h,S,13.0,3046.0,3.0,1.0,2.0,738.0,1960.0,-37.6972,144.941,Northern Metropolitan,8870.0,0
3701,3,h,S,14.6,3189.0,3.0,1.0,3.0,834.0,1960.0,-37.9376,145.0474,Southern Metropolitan,2555.0,1
3702,2,u,PI,11.2,3073.0,2.0,1.0,1.0,220.0,2011.0,-37.7327,145.0347,Northern Metropolitan,21650.0,0
3703,2,h,S,6.4,3011.0,2.0,1.0,0.0,258.0,1900.0,-37.7959,144.8901,Western Metropolitan,7570.0,0
3704,4,h,VB,9.2,3104.0,4.0,2.0,2.0,644.0,1950.0,-37.7997,145.0993,Southern Metropolitan,7809.0,1
3705,2,h,S,4.0,3057.0,2.0,1.0,1.0,186.0,,-37.76321,144.97836999999996,Northern Metropolitan,5533.0,0
3706,2,u,S,14.2,3149.0,2.0,1.0,1.0,173.0,1970.0,-37.87142,145.14503,Eastern Metropolitan,13366.0,0
3707,3,u,S,4.3,3032.0,3.0,2.0,1.0,166.0,,-37.7719,144.91565,Western Metropolitan,6567.0,0
3708,2,u,S,4.2,3031.0,2.0,1.0,1.0,0.0,2008.0,-37.7974,144.9261,Northern Metropolitan,5263.0,0
3709,5,h,VB,13.0,3204.0,5.0,3.0,2.0,772.0,1986.0,-37.9168,145.04,Southern Metropolitan,6795.0,1
3710,2,u,PI,7.7,3184.0,2.0,1.0,0.0,0.0,1930.0,-37.8751,144.987,Southern Metropolitan,8989.0,0
3711,4,h,S,7.4,3144.0,2.0,1.0,0.0,337.0,,-37.8575,145.0392,Southern Metropolitan,4675.0,1
3712,4,h,SA,10.8,3019.0,4.0,2.0,2.0,606.0,2002.0,-37.788,144.862,Western Metropolitan,3589.0,0
3713,2,h,S,1.6,3066.0,2.0,1.0,0.0,118.0,,-37.7976,144.993,Northern Metropolitan,4553.0,0
3714,4,h,VB,7.4,3144.0,4.0,2.0,2.0,586.0,1890.0,-37.866,145.039,Southern Metropolitan,4675.0,2
3715,3,t,S,7.5,3123.0,3.0,2.0,2.0,166.0,1980.0,-37.8293,145.0456,Southern Metropolitan,6482.0,1
3716,4,h,VB,11.2,3127.0,4.0,2.0,2.0,783.0,1920.0,-37.8181,145.0913,Southern Metropolitan,5457.0,2
3717,5,h,S,21.5,3195.0,5.0,2.0,2.0,693.0,1940.0,-37.98928,145.07798,South-Eastern Metropolitan,5087.0,1
3718,5,h,S,10.6,3084.0,5.0,2.0,2.0,580.0,1940.0,-37.7539,145.0577,Eastern Metropolitan,2890.0,1
3719,3,h,S,8.0,3016.0,3.0,2.0,2.0,315.0,1990.0,-37.8595,144.8868,Western Metropolitan,6380.0,1
3720,3,u,S,10.3,3084.0,3.0,2.0,2.0,0.0,1975.0,-37.7623,145.0569,Eastern Metropolitan,1651.0,1
3721,2,u,VB,7.8,3124.0,2.0,1.0,1.0,0.0,2011.0,-37.8493,145.0877,Southern Metropolitan,8920.0,0
3722,3,h,S,9.2,3146.0,3.0,2.0,2.0,668.0,1920.0,-37.8489,145.0711,Southern Metropolitan,10412.0,1
3723,3,h,S,7.0,3013.0,2.0,1.0,1.0,325.0,,-37.8195,144.8973,Western Metropolitan,6543.0,0
3724,2,h,S,7.8,3058.0,2.0,1.0,1.0,263.0,1910.0,-37.7493,144.97,Northern Metropolitan,11204.0,0
3725,3,h,S,8.8,3072.0,3.0,1.0,1.0,581.0,,-37.7399,145.0228,Northern Metropolitan,14577.0,0
3726,4,h,S,22.2,3172.0,4.0,2.0,2.0,676.0,1975.0,-37.97936,145.13302,South-Eastern Metropolitan,3940.0,0
3727,3,h,S,11.2,3046.0,3.0,1.0,1.0,584.0,1960.0,-37.71016,144.9215,Northern Metropolitan,8870.0,0
3728,4,h,S,14.5,3087.0,4.0,1.0,3.0,541.0,1960.0,-37.69778,145.08516,Northern Metropolitan,1442.0,0
3729,3,h,S,14.0,3047.0,3.0,1.0,1.0,341.0,1965.0,-37.6886,144.92281,Northern Metropolitan,4294.0,0
3730,2,u,S,7.5,3123.0,2.0,1.0,1.0,0.0,1960.0,-37.8254,145.0476,Southern Metropolitan,6482.0,0
3731,5,h,S,7.5,3123.0,5.0,3.0,4.0,1011.0,1905.0,-37.8165,145.0505,Southern Metropolitan,6482.0,2
